Περιφέρεια,Διεύθυνση,Ονομασία,Κατηγορία Μοριοδότησης,Κωδ. ΥΠΠΘ
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΥΡΓΙΩΝ ΔΡΑΜΑΣ,ΣΤ,905010
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,4ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,Β,901037
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΑΛΑΜΠΑΚΙOY ΔΡΑΜΑΣ,Δ,906010
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,6ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,Β,901039
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΓΥΜΝΑΣΙΟ (Λ.Τ.)  ΝΙΚΗΦΟΡΟΥ,ΣΤ,907010
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,Β,901020
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΦΩΤΟΛΙΒΟΥΣ ΔΡΑΜΑΣ,Ε,910010
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,Β,901010
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,Β,901030
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟΥ ΔΟΞΑΤΟΥ,Δ,901040
