Περιφέρεια,Διεύθυνση,Ονομασία,Κατηγορία Μοριοδότησης,Κωδ. ΥΠΠΘ
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,12ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ,Α,9051244
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,9ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ,Α,9050148
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,7ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑΣ,Α,9050208
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,11ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑΣ,Α,9051173
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,12ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑΣ,Α,9051174
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,13ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑΣ,Α,9051175
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,14ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑΣ,Α,9051280
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,16ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑΣ,Α,9520489
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,11ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗ,Α,9520365
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,1ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΛΛΗΝΙΚΟ,Α,9050180
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,2ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΛΛΗΝΙΚΟΥ - ΕΙΡΗΝΗ,Α,9050179
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,3ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΛΛΗΝΙΚΟY,Α,9051006
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,4ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,Α,9050187
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,6ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΙΜΟΥ,Α,9050178
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,9ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΙΜΟΣ,Α,9050971
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,2ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,Α,9050185
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,ΕΙΔΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ ΤΥΦΛΩΝ ΚΑΛΛΙΘΕΑΣ,Α,9520439
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,3ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,Α,9050186
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,9ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΔΑ,Α,9050970
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,3ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΙΜΟΣ - ΛΕΩΝΙΔΑΣ ΚΩΝΣΤΑΝΤΑΡΑΣ,Α,9050175
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,11ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,Α,9051279
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,15ο ΝΗΠΙΑΓΩΓΕΙΟ ΓΛΥΦΑΔΑΣ,Α,9520494
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,8ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΛΙΜΟΣ,Α,9520376
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΓΛΥΦΑΔΑ - ΠΑΠΑΔΑΚΕΙΟ,Α,9520396
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,1ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΛΙΜΟΣ,Α,9051078
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,17ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΓΛΥΦΑΔΑΣ,Α,9051887
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,19ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΓΛΥΦΑΔΑΣ,Α,9520511
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,6ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΕΛΛΗΝΙΚΟΥ,Α,9520423
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,1ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΛΙΘΕΑΣ,Α,9050211
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,17ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,Α,9521424
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,ΔΗΜΟΤΙΚΟ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ  <Η ΑΜΥΜΩΝΗ>,Α,9521288
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,ΕΙΔΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΘΗΝΑ - ΑΜΥΜΩΝΗ,Α,9521287
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,1o ΕΙΔΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ ΚΑΛΛΙΘΕΑ,Α,9521167
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,8ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΙΜΟΥ,Α,9520516
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,1ο ΟΛΟΗΜΕΡΟ ΕΙΔΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΓ. ΔΗΜΗΤΡΙΟΣ,Α,9520445
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,18ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,Α,9521655
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. Δ΄ ΑΘΗΝΑΣ,6ο ΝΗΠΙΑΓΩΓΕΙΟ ΑΛΙΜΟΣ,Α,9521682
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΓΟΥΛΑΣ,Β,9521012
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,9ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΕΛΕΥΣΙΝΑΣ,Β,9050872
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,6ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΓΑΡΑ,Γ,9050649
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,8ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΓΑΡΩΝ,Γ,9050925
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,4ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΝΔΡΑΣ,Β,9051158
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,9ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΣΠΡΟΠΥΡΓΟΥ,Γ,9050832
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,3ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΓΑΡΩΝ,Γ,9050644
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,6ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΝΩ ΛΙΟΣΙΑ,Β,9051472
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,2ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΣΠΡΟΠΥΡΓΟΥ,Β,9050615
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,5ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΝΩ ΛΙΟΣΙΩΝ,Β,9051528
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,9ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΝΩ ΛΙΟΣΙΩΝ,Γ,9051759
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,3ο Ολοήμερο Δημοτικό Σχολείο Νέας Περάμου,Γ,9051842
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,1ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΝΩ ΛΙΟΣΙΩΝ,Β,9050265
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,4ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΣΠΡΟΠΥΡΓΟΥ,Β,9051801
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,9ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΕΓΑΡΩΝ,Γ,9051785
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,2ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΝΩ ΛΙΟΣΙΩΝ,Β,9050266
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,5ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΝΔΡΑΣ,Β,9051805
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,11ο ΟΛΟΗΜΕΡΟ ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΛΕΥΣΙΝΑΣ,Β,9051840
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,3ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΑΝΩ ΛΙΟΣΙΩΝ,Β,9050870
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,7ο ολοήμερο Νηπιαγωγείο ¶νω Λιοσίων,Β,9051594
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΤΤΙΚΗΣ,ΔΙΕΥΘΥΝΣΗ Π.Ε. ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,6ο ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΕΛΕΥΣΙΝΑΣ,Β,9050801
